# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-18T05:29:24+08:00
# started_remote=2026-03-18T05:29:24+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 477888 505144 1133864    0    0     0     0  812 1328  1  0 99  0  0
 0  0      0 477588 505144 1133896    0    0     0     0  736 1196  0  1 98  0  0
 0  0      0 466468 505144 1133932    0    0     0    48 1410 2222 11  2 88  0  0
 0  0      0 467728 505144 1133896    0    0     0     0 1098 1707  1  1 98  0  0
 0  0      0 467776 505144 1133864    0    0     0     0 1367 2201  1  1 98  0  0
 0  0      0 467728 505144 1133900    0    0     0     0 1062 1682  1  1 98  0  0
 0  0      0 473808 505144 1133900    0    0     0     0  887 1442  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 466972 505144 1133900    0    0     0    52 1208 1877 19  2 79  0  0
 0  0      0 467224 505144 1133900    0    0     0     0 1039 1626  1  1 98  0  0
 0  0      0 467476 505144 1133932    0    0     0     0  897 1396  1  1 98  0  0
 0  0      0 475068 505144 1133900    0    0     0     0  770 1227  1  1 98  0  0
 0  0      0 475620 505144 1133900    0    0     0     0  817 1283  1  0 99  0  0
 0  0      0 466216 505148 1133964    0    0     0    44 1137 1774  8  2 90  0  0
 0  0      0 466216 505148 1133900    0    0     0     0 1108 1674  1  0 99  0  0
 0  0      0 465712 505148 1133900    0    0     0     0  707 1145  1  1 99  0  0
 0  0      0 464128 505148 1133904    0    0     0     0 1179 1743  2  2 96  0  0
 0  0      0 471476 505148 1133904    0    0     0     0  805 1291  1  1 98  0  0
 0  0      0 463444 505148 1133964    0    0     0    56 1402 2106 12  3 86  0  0
 0  0      0 465004 505148 1133872    0    0     0     0  965 1492  1  1 98  0  0
 0  0      0 464956 505148 1133904    0    0     0     0  840 1325  0  1 99  0  0
 0  0      0 471792 505148 1133904    0    0     0     0  887 1464  1  0 98  0  0
